,close,return,realreturn,direction,lag1,lag2,lag3,lag4,lag5,result,up,uptotal,rsi
19,104.05,-0.0037411909912846444,-0.39000000000000057,-1,3,2,2,2,2,0.39000000000000057,0,-0.0,65.45166402535662
20,104.83,0.0074684376248378235,0.7800000000000011,1,1,3,2,2,2,0.7800000000000011,1,0.7800000000000011,68.49710982658964
21,105.74,0.00864326034282294,0.9099999999999966,1,3,1,3,2,2,0.9099999999999966,1,0.9099999999999966,70.2185792349727
22,105.63,-0.0010408289722333498,-0.10999999999999943,-1,3,3,1,3,2,0.10999999999999943,0,-0.0,66.81159420289856
23,105.81,0.0017026110809995043,0.18000000000000682,1,1,3,3,1,3,0.18000000000000682,1,0.18000000000000682,74.37888198757771
24,105.78,-0.00028356727823649616,-0.030000000000001137,-1,2,1,3,3,1,0.030000000000001137,0,-0.0,74.96087636932711
25,105.14,-0.006068670246531913,-0.6400000000000006,-1,1,2,1,3,3,0.6400000000000006,0,-0.0,59.566787003610145
26,104.39,-0.007158909971094984,-0.75,-1,1,1,2,1,3,0.75,0,-0.0,63.21839080459766
27,105.42,0.009818486006853703,1.0300000000000011,1,0,1,1,2,1,1.0300000000000011,1,1.0300000000000011,68.93203883495147
28,105.54,0.0011376565504610723,0.12000000000000455,1,3,0,1,1,2,0.12000000000000455,1,0.12000000000000455,67.78523489932888
29,105.69,0.001420253043734152,0.14999999999999147,1,2,3,0,1,1,0.14999999999999147,1,0.14999999999999147,67.6222596964587
30,105.55,-0.0013255067269263082,-0.14000000000000057,-1,2,2,3,0,1,0.14000000000000057,0,-0.0,65.72379367720465
31,104.01,-0.014697725929287808,-1.539999999999992,-1,1,2,2,3,0,1.539999999999992,0,-0.0,52.191235059760956
32,104.87,0.008234439481272022,0.8599999999999994,1,0,1,2,2,3,0.8599999999999994,1,0.8599999999999994,52.81782437745745
33,105.4,0.005041148260948283,0.5300000000000011,1,3,0,1,2,2,0.5300000000000011,1,0.5300000000000011,58.68725868725875
34,105.19,-0.001994397356079278,-0.21000000000000796,-1,2,3,0,1,2,0.21000000000000796,0,-0.0,52.5
35,104.52,-0.00638979809877101,-0.6700000000000017,-1,1,2,3,0,1,0.6700000000000017,0,-0.0,41.23563218390806
36,104.38,-0.001340354437144518,-0.14000000000000057,-1,0,1,2,3,0,0.14000000000000057,0,-0.0,41.05865522174536
37,104.64,0.002487801493621449,0.2600000000000051,1,1,0,1,2,3,0.2600000000000051,1,0.2600000000000051,41.725601131541715
38,105.26,0.005907592216744484,0.6200000000000045,1,2,1,0,1,2,0.6200000000000045,1,0.6200000000000045,46.605744125326396
39,104.64,-0.0059075922167444025,-0.6200000000000045,-1,2,2,1,0,1,0.6200000000000045,0,-0.0,46.72774869109947
40,105.15,0.004862014439820347,0.5100000000000051,1,1,2,2,1,0,0.5100000000000051,1,0.5100000000000051,55.13513513513515
41,104.72,-0.0040977805470643145,-0.4300000000000068,-1,2,1,2,2,1,0.4300000000000068,0,-0.0,44.85294117647059
42,103.93,-0.007572526001314134,-0.789999999999992,-1,1,2,1,2,2,0.789999999999992,0,-0.0,39.223560910307924
43,104.03,0.0009617234824735894,0.09999999999999432,1,0,1,2,1,2,0.09999999999999432,1,0.09999999999999432,38.81401617250679
44,103.91,-0.0011541792182485772,-0.12000000000000455,-1,2,0,1,2,1,0.12000000000000455,0,-0.0,38.91891891891894
45,104.9,0.00948237553769616,0.9900000000000091,1,1,2,0,1,2,0.9900000000000091,1,0.9900000000000091,56.49635036496347
46,104.48,-0.004011849874130594,-0.4200000000000017,-1,3,1,2,0,1,0.4200000000000017,0,-0.0,46.95787831513262
47,104.16,-0.0030674870678618345,-0.3200000000000074,-1,1,3,1,2,0,0.3200000000000074,0,-0.0,40.0
48,104.56,0.0038328908557073607,0.4000000000000057,1,1,1,3,1,2,0.4000000000000057,1,0.4000000000000057,45.07042253521134
49,104.74,0.001720019535374975,0.1799999999999926,1,2,1,1,3,1,0.1799999999999926,1,0.1799999999999926,51.864406779660996
50,105.08,0.0032408759659975296,0.3400000000000034,1,2,2,1,1,3,0.3400000000000034,1,0.3400000000000034,55.73770491803278
51,105.56,0.004557546817784268,0.480000000000004,1,2,2,2,1,1,0.480000000000004,1,0.480000000000004,57.27848101265819
52,106.09,0.005008278836056791,0.5300000000000011,1,2,2,2,2,1,0.5300000000000011,1,0.5300000000000011,56.66131621187795
53,106.32,0.0021656239338096765,0.22999999999998977,1,2,2,2,2,2,0.22999999999998977,1,0.22999999999998977,64.3835616438355
54,106.32,0.0,0.0,0,2,2,2,2,2,0.0,0,0.0,60.97560975609741
55,107.2,0.008242834231711823,0.8800000000000097,1,1,2,2,2,2,0.8800000000000097,1,0.8800000000000097,71.4532871972318
