,close,return,realreturn,direction,lag1,lag2,lag3,lag4,lag5
6,102.27,0.0016636496473014547,0.1700000000000017,1,0.0020589251844258223,-0.004895251600531363,0.0002930402951373075,-0.009528511567450552,-0.008095649458007012
7,102.78,0.004974406746162156,0.5100000000000051,1,0.0016636496473014547,0.0020589251844258223,-0.004895251600531363,0.0002930402951373075,-0.009528511567450552
8,103.31,0.005143395297270422,0.5300000000000011,1,0.004974406746162156,0.0016636496473014547,0.0020589251844258223,-0.004895251600531363,0.0002930402951373075
9,102.67,-0.006214215550480627,-0.6400000000000006,-1,0.005143395297270422,0.004974406746162156,0.0016636496473014547,0.0020589251844258223,-0.004895251600531363
10,102.59,-0.0007794992112519782,-0.0799999999999983,-1,-0.006214215550480627,0.005143395297270422,0.004974406746162156,0.0016636496473014547,0.0020589251844258223
11,104.08,0.014419372104628356,1.4899999999999949,1,-0.0007794992112519782,-0.006214215550480627,0.005143395297270422,0.004974406746162156,0.0016636496473014547
12,103.01,-0.010333763308647756,-1.0699999999999932,-1,0.014419372104628356,-0.0007794992112519782,-0.006214215550480627,0.005143395297270422,0.004974406746162156
13,103.08,0.0006793148885622595,0.06999999999999318,1,-0.010333763308647756,0.014419372104628356,-0.0007794992112519782,-0.006214215550480627,0.005143395297270422
14,103.42,0.0032929811839111536,0.3400000000000034,1,0.0006793148885622595,-0.010333763308647756,0.014419372104628356,-0.0007794992112519782,-0.006214215550480627
15,103.6,0.001738962857307165,0.1799999999999926,1,0.0032929811839111536,0.0006793148885622595,-0.010333763308647756,0.014419372104628356,-0.0007794992112519782
16,103.66,0.0005789829361778175,0.060000000000002274,1,0.001738962857307165,0.0032929811839111536,0.0006793148885622595,-0.010333763308647756,0.014419372104628356
17,103.68,0.00019291984240425692,0.020000000000010232,1,0.0005789829361778175,0.001738962857307165,0.0032929811839111536,0.0006793148885622595,-0.010333763308647756
18,104.44,0.007303511226963373,0.7599999999999909,1,0.00019291984240425692,0.0005789829361778175,0.001738962857307165,0.0032929811839111536,0.0006793148885622595
19,104.05,-0.0037411909912846444,-0.39000000000000057,-1,0.007303511226963373,0.00019291984240425692,0.0005789829361778175,0.001738962857307165,0.0032929811839111536
20,104.83,0.0074684376248378235,0.7800000000000011,1,-0.0037411909912846444,0.007303511226963373,0.00019291984240425692,0.0005789829361778175,0.001738962857307165
21,105.74,0.00864326034282294,0.9099999999999966,1,0.0074684376248378235,-0.0037411909912846444,0.007303511226963373,0.00019291984240425692,0.0005789829361778175
22,105.63,-0.0010408289722333498,-0.10999999999999943,-1,0.00864326034282294,0.0074684376248378235,-0.0037411909912846444,0.007303511226963373,0.00019291984240425692
23,105.81,0.0017026110809995043,0.18000000000000682,1,-0.0010408289722333498,0.00864326034282294,0.0074684376248378235,-0.0037411909912846444,0.007303511226963373
24,105.78,-0.00028356727823649616,-0.030000000000001137,-1,0.0017026110809995043,-0.0010408289722333498,0.00864326034282294,0.0074684376248378235,-0.0037411909912846444
25,105.14,-0.006068670246531913,-0.6400000000000006,-1,-0.00028356727823649616,0.0017026110809995043,-0.0010408289722333498,0.00864326034282294,0.0074684376248378235
26,104.39,-0.007158909971094984,-0.75,-1,-0.006068670246531913,-0.00028356727823649616,0.0017026110809995043,-0.0010408289722333498,0.00864326034282294
27,105.42,0.009818486006853703,1.0300000000000011,1,-0.007158909971094984,-0.006068670246531913,-0.00028356727823649616,0.0017026110809995043,-0.0010408289722333498
28,105.54,0.0011376565504610723,0.12000000000000455,1,0.009818486006853703,-0.007158909971094984,-0.006068670246531913,-0.00028356727823649616,0.0017026110809995043
29,105.69,0.001420253043734152,0.14999999999999147,1,0.0011376565504610723,0.009818486006853703,-0.007158909971094984,-0.006068670246531913,-0.00028356727823649616
30,105.55,-0.0013255067269263082,-0.14000000000000057,-1,0.001420253043734152,0.0011376565504610723,0.009818486006853703,-0.007158909971094984,-0.006068670246531913
31,104.01,-0.014697725929287808,-1.539999999999992,-1,-0.0013255067269263082,0.001420253043734152,0.0011376565504610723,0.009818486006853703,-0.007158909971094984
32,104.87,0.008234439481272022,0.8599999999999994,1,-0.014697725929287808,-0.0013255067269263082,0.001420253043734152,0.0011376565504610723,0.009818486006853703
33,105.4,0.005041148260948283,0.5300000000000011,1,0.008234439481272022,-0.014697725929287808,-0.0013255067269263082,0.001420253043734152,0.0011376565504610723
34,105.19,-0.001994397356079278,-0.21000000000000796,-1,0.005041148260948283,0.008234439481272022,-0.014697725929287808,-0.0013255067269263082,0.001420253043734152
35,104.52,-0.00638979809877101,-0.6700000000000017,-1,-0.001994397356079278,0.005041148260948283,0.008234439481272022,-0.014697725929287808,-0.0013255067269263082
36,104.38,-0.001340354437144518,-0.14000000000000057,-1,-0.00638979809877101,-0.001994397356079278,0.005041148260948283,0.008234439481272022,-0.014697725929287808
37,104.64,0.002487801493621449,0.2600000000000051,1,-0.001340354437144518,-0.00638979809877101,-0.001994397356079278,0.005041148260948283,0.008234439481272022
38,105.26,0.005907592216744484,0.6200000000000045,1,0.002487801493621449,-0.001340354437144518,-0.00638979809877101,-0.001994397356079278,0.005041148260948283
39,104.64,-0.0059075922167444025,-0.6200000000000045,-1,0.005907592216744484,0.002487801493621449,-0.001340354437144518,-0.00638979809877101,-0.001994397356079278
40,105.15,0.004862014439820347,0.5100000000000051,1,-0.0059075922167444025,0.005907592216744484,0.002487801493621449,-0.001340354437144518,-0.00638979809877101
41,104.72,-0.0040977805470643145,-0.4300000000000068,-1,0.004862014439820347,-0.0059075922167444025,0.005907592216744484,0.002487801493621449,-0.001340354437144518
